post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47611921,Significant raise of reports,technology,310,155,stratos123,2026-04-04 19:04:50,0.4983922829581994,True
47603737,AI for American-produced cement and concrete,technology,223,117,latchkey,2026-04-04 19:04:50,0.5223214285714286,True
47620155,Marc Andreessen Is Right That AI Isn't Killing Jobs. Interest Rate Hikes Are,technology,38,9,bigbobbeeper,2026-04-04 19:04:50,0.23076923076923078,False
47618123,Priced Out by AI: The Memory Chip Crisis Hitting Every Consumer,technology,6,0,dxs,2026-04-04 19:04:50,0.0,False
47636556,The Web Is an Antitrust Wedge,technology,6,0,genericlemon24,2026-04-04 19:04:51,0.0,False
47626347,F-15E wreckage photos amid Iranian claims it shot down an American fighter,technology,36,1,uticus,2026-04-04 19:04:51,0.02702702702702703,False
47638640,AI Whiz Kids Dropped Out of College and Got Investors to Pay Their Bills,technology,5,2,cebert,2026-04-04 19:04:51,0.3333333333333333,False
47632503,"Iran strikes leave Amazon availability zones ""hard down"" in Bahrain and Dubai",technology,225,106,upofadown,2026-04-04 19:04:51,0.4690265486725664,True
47636600,"Apple at 50, blind people and our allies shaping Apple accessibility innovation",technology,5,2,sholladay,2026-04-04 19:04:51,0.3333333333333333,False
47632504,"""Cognitive surrender"" leads AI users to abandon logical thinking, research finds",technology,91,39,Bender,2026-04-04 19:04:51,0.42391304347826086,False
47622264,"Why OpenAI Decided to Buy 'TBPN,' Tech's Hottest News Show",technology,7,0,mudil,2026-04-04 19:04:51,0.0,False
47634567,NHS staff resist using Palantir software,technology,14,0,abdelhousni,2026-04-04 19:04:51,0.0,False
47618189,Tailscale's new macOS home,technology,557,305,tosh,2026-04-04 19:04:51,0.546594982078853,True
47640722,12k AI-generated blog posts added in a single commit,technology,117,109,noslop,2026-04-04 19:04:51,0.923728813559322,True
47593620,1-Bit Bonsai: The First Commercially Viable 1-Bit LLMs,technology,9,1,wmf,2026-04-04 19:04:51,0.1,False
47583391,Windows++: C++ Application Framework for Windows by Paul DiLascia,technology,20,6,teleforce,2026-04-04 19:04:51,0.2857142857142857,False
47593634,Ordinary Lab Gloves May Have Skewed Microplastic Data,technology,138,62,WaitWaitWha,2026-04-04 19:04:51,0.4460431654676259,True
47609883,"Salomi, a research repo on extreme low-bit transformer quantization",science,12,4,Edward9055,2026-04-04 19:04:54,0.3076923076923077,False
47632687,Elon Musk insists banks working on SpaceX IPO must buy Grok subscriptions,science,18,5,abawany,2026-04-04 19:04:57,0.2631578947368421,False
47604155,SpaceX files to go public,science,393,571,nutjob2,2026-04-04 19:04:58,1.4492385786802031,True
47585860,"In Expanding de Sitter Space, Quantum Mechanics Gets More Elusive",science,32,2,pseudolus,2026-04-04 19:05:00,0.06060606060606061,False
47624879,Switzerland hosts 'CERN of semiconductor research',science,33,6,teleforce,2026-04-04 19:05:01,0.17647058823529413,False
47641277,Deafness reversed: One injection restores hearing in just weeks – ScienceDaily,science,16,4,bilsbie,2026-04-04 19:05:01,0.23529411764705882,False
47635146,Budget cuts for US science proposed again by Trump administration,science,8,0,paulpauper,2026-04-04 19:05:01,0.0,False
47620867,Proton Workspace: An encrypted suite for team collaboration,science,26,4,teekert,2026-04-04 19:05:02,0.14814814814814814,False
47588349,GitHub Monaspace Case Study,science,146,50,homebrewer,2026-04-04 19:05:04,0.3401360544217687,True
47586614,Open source CAD in the browser (Solvespace),science,369,126,phkahler,2026-04-04 19:05:07,0.34054054054054056,True
47639960,Elon Musk insists banks working on SpaceX IPO must buy Grok subscriptions,science,5,1,throw0101c,2026-04-04 19:05:08,0.16666666666666666,False
