post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47552643,Cat Itecture: Better Cat Window Boxes (2023),sports,87,14,gggscript,2026-04-03 16:20:36,0.1590909090909091,False
47562961,Chess in SQL,sports,183,47,upmostly,2026-04-03 16:20:47,0.2554347826086957,True
47565307,Windows 95 defenses against installers that overwrite a file with an older one,sports,165,96,michelangelo,2026-04-03 16:21:22,0.5783132530120482,True
47622715,Microsoft wants Edge to automatically open by default at Windows 11 boot,sports,13,5,tech234a,2026-04-03 16:21:29,0.35714285714285715,False
47575616,"FTC action against Match and OkCupid for deceiving users, sharing personal data",sports,316,158,gnabgib,2026-04-03 16:21:31,0.49842271293375395,True
47625017,Atmospheric CO₂ accelerating faster than fossil fuel emissions are growing,sports,5,1,mariuz,2026-04-03 16:22:00,0.16666666666666666,False
47592462,I traced my traffic through a home Tailscale exit node,sports,152,72,stonecharioteer,2026-04-03 16:22:25,0.47058823529411764,True
47602986,Show HN: Real-time dashboard for Claude Code agent teams,sports,73,26,simple10,2026-04-03 16:22:57,0.35135135135135137,False
47607326,The Windows equivalents of the most used Linux commands,sports,68,70,elsadek,2026-04-03 16:23:35,1.0144927536231885,False
47539767,The European AllSky7 fireball network,sports,122,13,marklit,2026-04-03 16:23:36,0.10569105691056911,True
47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),sports,39,6,ruevs,2026-04-03 16:23:42,0.15,False
47625860,Ubuntu now has higher system hardware requirements than Windows 11,sports,13,4,bundie,2026-04-03 16:23:46,0.2857142857142857,False
